isLethe,fileName,LogicalAxiomsSize,RolesSize,ConceptsSize,GCISize,GCIRolesSize,GCIConceptSize,rate,time,memory,timeOut,MemoryOut,isSuccess,isExtra,afterForgettingAxiomsSize,beforeForgettingAxiomsSize,definer,optimizenum1,optimizenum2,optimizenum3,optimizenum4,optimizetim3,depthMean,depthMedian,depthMax 
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/cdao.comparative-data-analysis-ontology.7.owl.xml,456,68,144,0,0,0,0.3,36.0,67.7116928100586,0,0,1,0,21,86,1,0.0,6.0,3.0,2.0,4.0,0.9767441860465116,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/cdao.comparative-data-analysis-ontology.7.owl.xml,456,68,144,0,0,0,0.3,859.0,420.701171875,0,0,1,0,28,88,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/cdao.comparative-data-analysis-ontology.7.owl.xml,456,68,144,0,0,0,0.3,30.0,39.10616302490234,0,0,1,0,33,110,1,1.0,6.0,6.0,2.0,2.0,0.9534883720930232,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/cdao.comparative-data-analysis-ontology.7.owl.xml,456,68,144,0,0,0,0.3,1760.0,433.0906600952149,0,0,1,0,49,114,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/cdao.comparative-data-analysis-ontology.7.owl.xml,456,68,144,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,0,0.0,4.0,7.0,2.0,4.0,,,
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/cdao.comparative-data-analysis-ontology.7.owl.xml,456,68,144,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ogi.ontology-for-genetic-interval.18.owl.xml,424,54,184,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,0,0.0,1.0,1.0,0.0,3.0,,,
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ogi.ontology-for-genetic-interval.18.owl.xml,424,54,184,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ogi.ontology-for-genetic-interval.18.owl.xml,424,54,184,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,0,0.0,1.0,2.0,1.0,3.0,,,
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ogi.ontology-for-genetic-interval.18.owl.xml,424,54,184,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ogi.ontology-for-genetic-interval.18.owl.xml,424,54,184,0,0,0,0.3,26.0,18.211090087890625,0,0,1,0,29,95,1,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ogi.ontology-for-genetic-interval.18.owl.xml,424,54,184,0,0,0,0.3,1221.0,100.77194213867188,0,0,1,0,57,95,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ontodm-kdd.ontology-of-data-mining-investigations.1.owl.xml,604,30,263,0,0,0,0.3,64.0,56.20938873291016,0,0,1,0,92,266,9,0.0,9.0,1.0,0.0,6.0,1.0897435897435896,1.0,2.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ontodm-kdd.ontology-of-data-mining-investigations.1.owl.xml,604,30,263,0,0,0,0.3,0.0,0.0,1,0,0,0,0,0,,,,,,,,,2.0
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ontodm-kdd.ontology-of-data-mining-investigations.1.owl.xml,604,30,263,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,0,0.0,11.0,0.0,0.0,4.0,,,
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ontodm-kdd.ontology-of-data-mining-investigations.1.owl.xml,604,30,263,0,0,0,0.3,0.0,0.0,1,0,0,0,0,0,,,,,,,,,2.0
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ontodm-kdd.ontology-of-data-mining-investigations.1.owl.xml,604,30,263,0,0,0,0.3,70.0,61.421905517578125,0,0,1,0,110,239,19,0.0,5.0,1.0,0.0,6.0,1.0897435897435896,1.0,2.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/ontodm-kdd.ontology-of-data-mining-investigations.1.owl.xml,604,30,263,0,0,0,0.3,0.0,0.0,1,0,0,0,0,0,,,,,,,,,2.0
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/adalab-meta.adalab-meta-ontology.6.owl.xml,374,94,70,0,0,0,0.3,17.0,14.09235382080078,0,0,1,0,1,54,1,0.0,14.0,0.0,0.0,2.0,0.9523809523809524,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/adalab-meta.adalab-meta-ontology.6.owl.xml,374,94,70,0,0,0,0.3,671.0,309.44175720214844,0,0,1,0,32,54,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/adalab-meta.adalab-meta-ontology.6.owl.xml,374,94,70,0,0,0,0.3,16.0,13.722694396972656,0,0,1,0,26,61,1,0.0,10.0,0.0,2.0,3.0,0.9523809523809524,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/adalab-meta.adalab-meta-ontology.6.owl.xml,374,94,70,0,0,0,0.3,760.0,486.7295989990234,0,0,1,0,69,61,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/adalab-meta.adalab-meta-ontology.6.owl.xml,374,94,70,0,0,0,0.3,14.0,12.469009399414062,0,0,1,0,38,74,1,0.0,13.0,0.0,3.0,2.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/adalab-meta.adalab-meta-ontology.6.owl.xml,374,94,70,0,0,0,0.3,863.0,130.2899627685547,0,0,1,0,78,74,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/psds.plant-structure-development-stage.6.owl.xml,314,5,290,0,0,0,0.3,22.0,21.08940887451172,0,0,1,0,98,180,1,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/psds.plant-structure-development-stage.6.owl.xml,314,5,290,0,0,0,0.3,778.0,133.98226165771484,0,0,1,0,98,180,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/psds.plant-structure-development-stage.6.owl.xml,314,5,290,0,0,0,0.3,22.0,20.16175842285156,0,0,1,0,73,151,1,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/psds.plant-structure-development-stage.6.owl.xml,314,5,290,0,0,0,0.3,667.0,65.26500701904297,0,0,1,0,73,151,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/psds.plant-structure-development-stage.6.owl.xml,314,5,290,0,0,0,0.3,23.0,18.61833953857422,0,0,1,0,89,162,1,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/psds.plant-structure-development-stage.6.owl.xml,314,5,290,0,0,0,0.3,813.0,152.10797882080078,0,0,1,0,89,162,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/hpio.host-pathogen-interactions-ontology.2.owl.xml,339,6,275,0,0,0,0.3,24.0,23.269775390625,0,0,1,0,46,136,1,0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/hpio.host-pathogen-interactions-ontology.2.owl.xml,339,6,275,0,0,0,0.3,0.0,0.0,1,0,0,0,0,0,,,,,,,,,1.0
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/hpio.host-pathogen-interactions-ontology.2.owl.xml,339,6,275,0,0,0,0.3,23.0,21.244041442871094,0,0,1,0,51,150,1,0.0,0.0,5.0,0.0,3.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/BioPortal/PARTI/hpio.host-pathogen-interactions-ontology.2.owl.xml,339,6,275,0,0,0,0.3,0.0,0.0,1,0,0,0,0,0,,,,,,,,,1.0
