isLethe,fileName,LogicalAxiomsSize,RolesSize,ConceptsSize,GCISize,GCIRolesSize,GCIConceptSize,rate,time,memory,timeOut,MemoryOut,isSuccess,isExtra,afterForgettingAxiomsSize,beforeForgettingAxiomsSize,definer,optimizenum1,optimizenum2,optimizenum3,optimizenum4,optimizetim3,depthMean,depthMedian,depthMax 
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00295.owl,22,20,4,0,0,0,0.3,118.0,19.243064880371094,0,0,1,0,0,2,1,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00295.owl,22,20,4,0,0,0,0.3,372.0,35.75035095214844,0,0,1,0,0,2,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00295.owl,22,20,4,0,0,0,0.3,19.0,6.176338195800781,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00295.owl,22,20,4,0,0,0,0.3,20.0,6.305641174316406,0,0,1,0,0,1,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00295.owl,22,20,4,0,0,0,0.3,9.0,4.477081298828125,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00295.owl,22,20,4,0,0,0,0.3,34.0,12.551734924316406,0,0,1,0,0,0,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00281.owl,164,70,37,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,6.0,,,
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00281.owl,164,70,37,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,,,,,,,,,
0,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00281.owl,164,70,37,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,3.0,,,
1,/Users/liuzhao/Desktop/experiments/Test_data_for_forgetting/dataSet/Oxford-ISG/PARTI/00281.owl,164,70,37,0,0,0,0.3,0.0,0.0,0,0,0,1,0,0,,,,,,,,,
